file,n_size,difficulty,solved,nodes_expanded,time_seconds,solution_length,reason
3x3/medios/68.txt,3,medios,True,848,0.0062,14,OK
3x3/medios/69.txt,3,medios,True,818,0.0056,14,OK
3x3/medios/70.txt,3,medios,True,1193,0.0248,20,OK
3x3/medios/71.txt,3,medios,True,844,0.006,18,OK
3x3/medios/72.txt,3,medios,True,1148,0.0208,18,OK
3x3/medios/73.txt,3,medios,True,897,0.0074,18,OK
3x3/medios/74.txt,3,medios,True,935,0.0131,18,OK
3x3/medios/75.txt,3,medios,True,1054,0.0198,16,OK
3x3/medios/76.txt,3,medios,True,1009,0.0142,16,OK
3x3/medios/77.txt,3,medios,True,894,0.0091,20,OK
3x3/medios/78.txt,3,medios,True,902,0.0138,20,OK
3x3/medios/79.txt,3,medios,True,867,0.0066,18,OK
3x3/medios/80.txt,3,medios,True,854,0.0084,20,OK
3x3/medios/81.txt,3,medios,True,857,0.0088,16,OK
3x3/medios/82.txt,3,medios,True,860,0.0037,16,OK
3x3/medios/83.txt,3,medios,True,826,0.0081,14,OK
3x3/medios/84.txt,3,medios,True,1193,0.0163,20,OK
3x3/medios/85.txt,3,medios,True,1282,0.0212,22,OK
3x3/medios/86.txt,3,medios,True,1091,0.022,18,OK
3x3/medios/87.txt,3,medios,True,1223,0.0198,20,OK
3x3/medios/88.txt,3,medios,True,1455,0.0338,20,OK
3x3/medios/89.txt,3,medios,True,1049,0.0237,18,OK
3x3/medios/90.txt,3,medios,True,824,0.0059,14,OK
3x3/medios/91.txt,3,medios,True,640,0.0006,10,OK
3x3/medios/92.txt,3,medios,True,934,0.0156,18,OK
3x3/medios/93.txt,3,medios,True,845,0.0083,18,OK
3x3/medios/94.txt,3,medios,True,813,0.0033,12,OK
3x3/medios/95.txt,3,medios,True,1220,0.0196,22,OK
3x3/medios/96.txt,3,medios,True,831,0.0059,18,OK
3x3/medios/97.txt,3,medios,True,891,0.0094,16,OK
3x3/medios/98.txt,3,medios,True,820,0.0057,14,OK
3x3/medios/99.txt,3,medios,True,869,0.0094,18,OK
3x3/medios/100.txt,3,medios,True,1506,0.0276,22,OK
3x3/dificiles/1.txt,3,dificiles,True,3456,0.0596,22,OK
3x3/dificiles/2.txt,3,dificiles,True,5398,0.0917,26,OK
3x3/dificiles/3.txt,3,dificiles,True,1137,0.0107,22,OK
3x3/dificiles/4.txt,3,dificiles,True,1154,0.0176,24,OK
3x3/dificiles/5.txt,3,dificiles,True,847,0.006,18,OK
3x3/dificiles/6.txt,3,dificiles,True,842,0.0058,20,OK
3x3/dificiles/7.txt,3,dificiles,True,918,0.0119,22,OK
3x3/dificiles/8.txt,3,dificiles,True,1668,0.0276,24,OK
3x3/dificiles/9.txt,3,dificiles,True,5997,0.1025,26,OK
3x3/dificiles/10.txt,3,dificiles,True,2015,0.0369,20,OK
3x3/dificiles/11.txt,3,dificiles,True,848,0.0059,14,OK
3x3/dificiles/12.txt,3,dificiles,True,880,0.0068,18,OK
3x3/dificiles/13.txt,3,dificiles,True,1039,0.0089,22,OK
3x3/dificiles/14.txt,3,dificiles,True,897,0.0068,22,OK
3x3/dificiles/15.txt,3,dificiles,True,1540,0.0206,24,OK
3x3/dificiles/16.txt,3,dificiles,True,891,0.0067,20,OK
3x3/dificiles/17.txt,3,dificiles,True,4625,0.0876,26,OK
3x3/dificiles/18.txt,3,dificiles,True,894,0.0114,18,OK
3x3/dificiles/19.txt,3,dificiles,True,907,0.0158,20,OK
3x3/dificiles/20.txt,3,dificiles,True,1912,0.0336,24,OK
3x3/dificiles/21.txt,3,dificiles,True,1797,0.0342,22,OK
